,address,issue_reported,location_latitude,location_longitude,published_date
163,1310-1319 W 24TH ST,Traffic Hazard,30.2885158,-97.7516354,2017-10-03
164,E 6th St & Sabine St,zSTALLED VEHICLE,30.266176,-97.736127,2017-10-14
165,S SH 45 E WB TO FM 1625 RAMP & FM 1625 RD,TRFC HAZD/ DEBRIS,30.0843038,-97.7351869,2017-09-29
166,13631-13815 N Sh 45 W Eb,Crash Urgent,30.4737071,-97.7792374,2017-10-03
167,7900-7999 N Mopac Expy Svrd Nb,Crash Service,30.362543,-97.743504,2017-10-16
168,E 5th St & Congress Ave,Crash Urgent,30.2671238,-97.7431786,2017-09-28
169,N Fm 620 Rd Nb & Pecan Park Blvd,Traffic Hazard,30.465985,-97.803950,2017-10-14
170,12600-12730 Research Blvd Sb,Traffic Hazard,30.4306319,-97.7626581,2017-10-05
171,6578-6596 W William Cannon Dr,Traffic Impediment,30.2392125,-97.8617405,2017-10-09
172,9000 S Ih 35 Sb,Crash Service,30.1653507,-97.7873763,2017-09-29
173,4411 Spicewood Springs Rd,Crash Service,30.3731324,-97.7587329,2017-10-02
174,30 N Ih 35 Svrd Sb,Crash Service,30.253943,-97.736871,2017-10-17
175,1100 N Ih 35 Sb,Crash Urgent,30.27062,-97.7333447,2017-09-29
176,7000 S Mopac Expy Sb,zSTALLED VEHICLE,30.2171157,-97.8406011,2017-09-30
178,11100-11209 E US 290 HWY EB,TRFC HAZD/ DEBRIS,30.2200917,-97.9590093,2017-09-29
179,Elroy Rd & Fagerquist Rd,LOOSE LIVESTOCK,30.141990,-97.616151,2017-10-12
180,1101 S Capital Of Texas Hwy Nb,COLLISION,30.282667,-97.822319,2017-10-13
181,N Fm 620 Rd & Concordia University Dr,Crash Urgent,30.421932,-97.845022,2017-10-15
182,N Lamar Blvd & W Longspur Blvd,Crash Urgent,30.3673656,-97.6945943,2017-10-08
183,Craigwood Dr & Fm 969 Rd,Crash Service,30.284725,-97.659822,2017-10-14
184,611 S Congress Ave,Crash Service,30.2556609,-97.7473838,2017-09-28
185,E 5th St & Trinity St,Traffic Hazard,30.2661372,-97.7396849,2017-10-02
186,MAXA DR & GREENBURY DR,TRFC HAZD/ DEBRIS,30.351016,-97.530153,2017-10-14
187,4600-5221 Ed Bluestein Blvd Nb,Crash Urgent,30.281978,-97.6665736,2017-10-06
188,Northland Dr & Louise Ln,Crash Service,30.334956,-97.752591,2017-10-14
189,11950 Jollyville Rd,Traffic Hazard,30.4258881,-97.7580417,2017-09-28
190,11801-11907 Anderson Mill Rd,Traffic Impediment,30.455599,-97.826737,2017-10-14
191,N Lamar Blvd & W 34th St,Traffic Hazard,30.3027058,-97.7447182,2017-09-29
192,12301-12315 Dessau Rd,Crash Service,30.387009,-97.6484578,2017-10-02
193,Fm 969 Rd & Regency Dr,Crash Service,30.285070,-97.661974,2017-10-13
194,5775 Airport Blvd,Crash Service,30.322046,-97.714268,2017-10-14
195,S Lamar Blvd Svrd Sb & S Capital Of Texas Hwy Svrd Nb,Crash Urgent,30.234597,-97.7960056,2017-09-30
196,13330 Fm 969 Rd,COLLISION WITH INJURY,30.2510902,-97.5934668,2017-10-01
197,1934-1950 W William Cannon Dr,Traffic Impediment,30.2027469,-97.8055244,2017-09-27
198,N Ih 35 Svrd Sb & E 51st St,Crash Service,30.310157,-97.711305,2017-10-15
199,Harrisglenn Dr & Bauhaus Bnd,Traffic Impediment,30.4084989,-97.6406269,2017-10-01
200,4400-4447 N FM 620 RD,TRFC HAZD/ DEBRIS,30.3874094,-97.90578,2017-09-28
201,1808-1902 E Stassney Ln,Traffic Hazard,30.195949,-97.759186,2017-10-13
202,6900 N Mopac Expy Sb,Crash Urgent,30.351308,-97.749183,2017-10-14
203,8919 Research Blvd Svrd Nb,Crash Service,30.371009,-97.720804,2017-10-17
204,Metric Blvd & Cedar Bend Dr,Crash Service,30.408278,-97.6969906,2017-09-28
205,9000-9240 S SH 45 E WB,COLLISION,30.0855708,-97.738617,2017-09-29
206,0 E Mlk To Ih 35 Ud Nb Ramp,Crash Urgent,30.280824,-97.728261,2017-10-13
207,13985-14075 N US 183 HWY SVRD NB,Traffic Hazard,30.4734278,-97.798294,2017-09-27
208,Woodward St & E Ben White Blvd Svrd Wb,Traffic Hazard,30.2166099,-97.7440106,2017-09-28
209,W Slaughter Ln & Manchaca Rd,zSTALLED VEHICLE,30.173742,-97.8237345,2017-10-06
210,2400-2451 N Mopac Expy Nb,Traffic Hazard,30.2567025,-97.8012229,2017-09-29
211,14063-14635 N 183a Hwy Nb,Traffic Hazard,30.4787429,-97.8016204,2017-10-05
212,2000 N IH 35 SVRD NB,Traffic Impediment,30.280543,-97.728103,2017-10-15
213,1653-2327 N Mopac Expy Nb,Traffic Hazard,30.288253,-97.762076,2017-10-16
214,Old Manchaca Rd & Riddle Rd,Traffic Impediment,30.1731638,-97.8306735,2017-09-27
215,5100 N Ih 35 Sb,Crash Urgent,30.3101942,-97.7113741,2017-09-27
216,9000-9809 Blocker Ln,COLLISN/ LVNG SCN,30.1212927,-97.6681124,2017-10-07
217,Chalmers Ave & Willow St,Crash Service,30.2569209,-97.7270816,2017-10-03
218,900-999 RED RIVER ST,Crash Service,30.270141,-97.735809,2017-10-12
219,14200-14217 N Fm 620 Rd Nb,Traffic Hazard,30.4769181,-97.7648811,2017-10-03
220,718-725 E 12th St,Traffic Hazard,30.271849,-97.732358,2017-10-14
221,9415 North Creek Dr,Crash Service,30.360379,-97.691584,2017-10-17
222,8400 N IH 35 SB,Traffic Hazard,30.3470036,-97.6953868,2017-10-05
223,Sprinkle Cutoff Rd & Sprinkle Rd,TRFC HAZD/ DEBRIS,30.3522965,-97.647572,2017-09-29
224,E Us 290 Hwy Eb & Lexington St,TRFC HAZD/ DEBRIS,30.348861,-97.555963,2017-10-17
225,5800-6324 E Parmer Ln,Traffic Impediment,30.4395835,-97.7390208,2017-10-09
226,Alvin Devane Blvd & E Ben White Blvd Svrd Wb,Traffic Hazard,30.2137402,-97.7204241,2017-09-28
227,S Lamar Blvd & W Riverside Dr,Traffic Impediment,30.2645306,-97.7571131,2017-10-09
228,0 Research Sb To Mopac Nb Ramp,Traffic Hazard,30.381135,-97.736268,2017-10-13
229,Decker Ln & Loyola Ln,Crash Urgent,30.291240,-97.627952,2017-10-16
230,3500-3599 E Sh 71 Svrd Wb,Crash Urgent,30.1977839,-97.6306563,2017-10-04
231,4107 Medical Pkwy,Crash Urgent,30.3102347,-97.7425525,2017-09-29
232,1515 S Ih 35 Svrd Nb,Traffic Hazard,30.2424003,-97.735521,2017-09-28
233,1300-1399 Newfield Ln,Crash Service,30.2835079,-97.764493,2017-09-30
234,4501-4637 SOUTHWEST PKWY,Traffic Hazard,30.239917,-97.831561,2017-10-13
235,10500-10628 Sprinkle Cutoff Rd,COLLISION,30.3524421,-97.6475535,2017-10-06
236,0 N MOPAC SB TO WATERS PARK RAMP,Traffic Hazard,30.418357,-97.705250,2017-10-13
237,18900-19109 Blake Manor Rd,COLLISION WITH INJURY,30.284430,-97.519213,2017-10-13
238,1901 E 51st St,Traffic Hazard,30.3017729,-97.6960193,2017-10-04
239,S Capital Of Texas Hwy Nb & Scottish Woods Trl,Traffic Hazard,30.277537,-97.819543,2017-10-12
240,E Anderson Ln Wb & N Ih 35 Nb To Anderson Wb Ramp,zSTALLED VEHICLE,30.34267,-97.7036216,2017-09-27
241,6200 N Ih 35 Sb,Traffic Hazard,30.323455,-97.706746,2017-10-14
242,5604 Southwest Pkwy,Traffic Hazard,30.244958,-97.843503,2017-10-15
243,N Ih 35 Svrd Nb & E Braker Ln,Traffic Hazard,30.3769542,-97.6755904,2017-10-03
244,3177 Eva St,Traffic Hazard,30.203885,-97.638176,2017-10-15
245,4001-4229 W Parmer Ln,Traffic Hazard,30.425840,-97.716162,2017-10-16
246,9300-9499 NORTHGATE BLVD,Traffic Impediment,30.372241,-97.715425,2017-10-17
247,1300 W Parmer Ln,zSTALLED VEHICLE,30.4092575,-97.6819344,2017-09-29
248,S 1st St & W William Cannon Dr,Traffic Hazard,30.1971021,-97.7878296,2017-09-30
249,500 E 7th St,Traffic Hazard,30.2677487,-97.7378736,2017-09-27
250,501 E Koenig Ln Svrd Eb,Crash Service,30.320653,-97.715920,2017-10-13
251,4000 Cima Serena,Traffic Impediment,30.376617,-97.751768,2017-10-16
252,E Us 290 Hwy Svrd Eb & Decker Ln,Traffic Hazard,30.3344604,-97.6074083,2017-09-27
253,5800 S Ih 35 Sb,Traffic Hazard,30.1969472,-97.7655666,2017-09-26
254,Royal Hill Dr & Mulford Cv,Traffic Impediment,30.227580,-97.742634,2017-10-17
255,13600-14228 GREGG MANOR RD,LOOSE LIVESTOCK,30.3781877,-97.5833019,2017-10-06
256,3500 Susquehanna Ln,Crash Urgent,30.313135,-97.665108,2017-10-15
257,5720 MC NEIL DR,COLLISION WITH INJURY,30.447212,-97.731838,2017-10-17
258,Central Commerce Dr & Grand Avenue Pkwy,COLLISION,30.4559598,-97.659936,2017-10-03
259,S MOPAC EXPY SB & BARTON SKWY TO MOPAC SB RAMP,Traffic Hazard,30.2603032,-97.7945688,2017-10-05
260,100-222 E Riverside Dr,Traffic Hazard,30.2572156,-97.7468675,2017-09-29
261,W Slaughter Ln & Manchaca Rd,Traffic Impediment,30.173742,-97.8237345,2017-10-06
262,2000-2200 W Braker Ln,Traffic Hazard,30.3924474,-97.70828,2017-10-03
263,1800-1817 San Jacinto Blvd,Crash Service,30.279725,-97.735801,2017-10-16
264,800-898 S Mopac Expy Svrd Sb,Traffic Hazard,30.2671996,-97.7808755,2017-09-27
265,6008 Marigold Ter,Traffic Impediment,30.2311504,-97.7042247,2017-10-01
266,7200-7232 W US 290 HWY WB,Traffic Hazard,30.232314,-97.876806,2017-10-13
267,S Ih 35 Sb & E Ben White Eb To S 35 Sb Ramp,Crash Urgent,30.2090076,-97.7560234,2017-10-01
